state	year	town	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USS_dv	g2012_USS_rv	g2012_USS_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv
"CT"	2012	"Goshen"	5	416	1195	1740.0					637	990	1741.0	751	1017	1787.0
"CT"	2012	"Granby"	1	3018	2641	5994.0					2638	3171	6204.0	3079	3221	6378.0
"CT"	2012	"Greenwich"	4	13532	14021	28453.0					11926	15622	28476.0	13079	16456	29790.0
"CT"	2012	"Griswold"	2	3104	1084	4629.0					2135	2082	4669.0	2581	2166	4846.0
"CT"	2012	"Groton"	2	8822	3354	13088.0					7292	4872	13186.0	8384	5367	13964.0
"CT"	2012	"Guilford"	3	7993	3636	12228.0					6803	4749	12355.0	7411	5170	12693.0
"CT"	2012	"Haddam"	2	2468	1628	4490.0					2029	2139	4557.0	2346	2230	4646.0
"CT"	2012	"Hamden"	3	19520	4886	25392.0					17411	6983	25784.0	19181	7482	26900.0
"CT"	2012	"Hampton"	2	659	272	990.0					514	415	997.0	601	413	1029.0
"CT"	2012	"Hartford"	1	27175	1532	31149.0					27433	2718	33123.0	31735	2138	34037.0
"CT"	2012	"Hartland"	1	425	634	1136.0					358	734	1174.0	414	778	1205.0
"CT"	2012	"Harwinton"	5	980	1946	3117.0					1143	1820	3183.0	1260	1924	3244.0
"CT"	2012	"Hebron"	2	2880	1692	4906.0					2113	2398	4914.0	2606	2471	5143.0
"CT"	2012	"Kent"	5	858	658	1622.0					993	538	1635.0	1080	606	1706.0
"CT"	2012	"Killingly"	2	3601	1400	5605.0					2642	2490	5734.0	3259	2663	6040.0
"CT"	2012	"Killingworth"	2	2090	1350	3657.0					1690	1768	3710.0	1921	1840	3816.0
"CT"	2012	"Lebanon"	2	2064	997	3347.0					1548	1562	3376.0	1812	1608	3475.0
"CT"	2012	"Ledyard"	2	3882	2034	6436.0					3057	2834	6502.0	3564	3209	6900.0
"CT"	2012	"Lisbon"	2	1277	447	1943.0					904	830	1969.0	1125	890	2050.0
"CT"	2012	"Litchfield"	5	1334	2882	4503.0					1911	2353	4530.0	2156	2408	4640.0
"CT"	2012	"Lyme"	2	845	512	1443.0					794	560	1457.0	856	593	1473.0
"CT"	2012	"Madison"	2	5566	4093	10060.0					4957	4804	10252.0	5293	5193	10533.0
