state	year	county	precinct	cd	g2012_REG_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	ld	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	ld2	g2012_STH_dv2	g2012_STH_rv2	g2012_STH_tv2	ld3	g2012_STH_dv3	g2012_STH_rv3	g2012_STH_tv3	ld4	g2012_STH_dv4	g2012_STH_rv4	g2012_STH_tv4	ld5	g2012_STH_dv5	g2012_STH_rv5	g2012_STH_tv5	ld6	g2012_STH_dv6	g2012_STH_rv6	g2012_STH_tv6	ld7	g2012_STH_dv7	g2012_STH_rv7	g2012_STH_tv7	ld8	g2012_STH_dv8	g2012_STH_rv8	g2012_STH_tv8	ld9	g2012_STH_dv9	g2012_STH_rv9	g2012_STH_tv9	ld10	g2012_STH_dv10	g2012_STH_rv10	g2012_STH_tv10	ld11	g2012_STH_dv11	g2012_STH_rv11	g2012_STH_tv11	ld12	g2012_STH_dv12	g2012_STH_rv12	g2012_STH_tv12	ld13	g2012_STH_dv13	g2012_STH_rv13	g2012_STH_tv13	sd	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv	sd2	g2012_STS_dv2	g2012_STS_rv2	g2012_STS_tv2	sd3	g2012_STS_dv3	g2012_STS_rv3	g2012_STS_tv3	sd4	g2012_STS_dv4	g2012_STS_rv4	g2012_STS_tv4	sd5	g2012_STS_dv5	g2012_STS_rv5	g2012_STS_tv5	sd6	g2012_STS_dv6	g2012_STS_rv6	g2012_STS_tv6	sd7	g2012_STS_dv7	g2012_STS_rv7	g2012_STS_tv7	sd8	g2012_STS_dv8	g2012_STS_rv8	g2012_STS_tv8
"SC"	2012	"Richland"	"Parkridge"	2	1038		266	292					198	263	467	71		271	284																																																	19	345		346																												
"SC"	2012	"Richland"	"Parkway #1"	2	5690		940	1032					445	1934	2396	79	2067		2073																																																	22	2098		2101																												
"SC"	2012	"Richland"	"Parkway #2"	2	2979		601	654					347	991	1346	79	1106		1107																																																	22	1124		1127																												
"SC"	2012	"Richland"	"Pennington"	2	2702		888	940					794	432	1245	75	506	672	1178	70	33		33																																													20	324	774	1122	21	68		69																								
"SC"	2012	"Richland"	"Pine Grove"	6	1798	719		745					74	729	812	73	735		737																																																	19	731		735																												
"SC"	2012	"Richland"	"Pine Lakes"	6	2769	1109		1142					87	1126	1221	80	1126		1128																																																	21	1155		1159																												
"SC"	2012	"Richland"	"Pinewood"	6	1737	710		746					145	701	849	80	737		739																																																	21	749		752																												
"SC"	2012	"Richland"	"Polo Road"	2	4978		1165	1243					778	1442	2248	78	1181	553	1734	76	282	155	438																																													22	1816		1825																												
"SC"	2012	"Richland"	"Pontiac"	2	3031		772	803	6	33		42	664	619	1297	78	640	530	1171	80	57		61																																													35	649	586	1235	21	12		12																								
"SC"	2012	"Richland"	"Provisional 1"	6	0	5		5	2		1	1	2	5	7	72	3		3	76	1	0	1	75	1	0	1	73	0		0	78	0	0	0	74	0		0																													20	3	1	4	21	2		2	19	0		0	22	0		0																
