state	year	county	town	precinct	g2012_ATG_dv	g2012_ATG_rv	g2012_ATG_tv	g2012_AUD_dv	g2012_AUD_rv	g2012_AUD_tv	g2012_GOV_dv	g2012_GOV_rv	g2012_GOV_tv	g2012_LTG_dv	g2012_LTG_rv	g2012_LTG_tv	g2012_SOS_dv	g2012_SOS_tv	g2012_TRE_dv	g2012_TRE_rv	g2012_TRE_tv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USS_rv	g2012_USS_iv	g2012_USS_tv
"VT"	2012	"Washington"	"Duxbury"	"Duxbury (Washington 7)"	391	207	674	332	308	656	371	284	693	170	498	676	540	619	381	253	667	523	134	684	505	184	701	144	522	692
"VT"	2012	"Essex-Caledonia-Or"	"East Haven"	"East Haven (Essex-Caledonia-Or"	53	50	121	48	62	120	56	59	128	42	76	124	83	111	52	63	124	77	36	124	68	51	131	40	79	130
"VT"	2012	"Washington"	"East Montpelier"	"East Montpelier (Washington 5)"	906	422	1533	838	636	1499	990	524	1579	486	1042	1544	1288	1422	995	469	1529	1217	282	1556	1151	402	1595	319	1203	1569
"VT"	2012	"Orleans-Lamoille"	"Eden"	"Eden (Orleans-Lamoille)"	235	179	458	176	254	444	209	243	478	122	345	473	352	418	191	230	458	323	101	461	320	146	480	111	344	475
"VT"	2012	"Lamoille-Washington"	"Elmore"	"Elmore (Lamoille-Washington )"	299	145	483	261	197	468	295	178	501	183	303	492	391	447	284	170	485	370	102	497	359	130	504	121	359	494
"VT"	2012	"Franklin"	"Enosburgh"	"Enosburgh (Franklin 7)"	691	406	1178	499	621	1147	615	552	1217	400	744	1176	924	1076	536	518	1173	910	227	1200	797	398	1227	246	927	1227
"VT"	2012	"Chittenden"	"Essex"	"Essex (Chittenden 8-1)"	2428	1478	4089	1965	1853	3892	2264	1880	4255	1353	2719	4122	3427	3727	1946	1814	3997	2946	1087	4160	2729	1493	4294	1229	2893	4216
"VT"	2012	"Chittenden"	"Essex"	"Essex (Chittenden 8-2)"	2715	1623	4563	2157	2104	4350	2530	2004	4698	1611	2879	4554	3805	4195	2302	1879	4464	3285	1187	4629	3051	1634	4757	1283	3266	4687
"VT"	2012	"Chittenden"	"Essex"	"Essex (Chittenden 8-3)"	773	503	1329	635	614	1270	736	601	1373	447	868	1328	1093	1202	666	583	1312	910	408	1356	850	513	1390	453	889	1370
"VT"	2012	"Rutland"	"Fair Haven"	"Fair Haven (Rutland 3)"	533	471	1075	459	543	1044	511	539	1106	340	698	1075	822	980	411	634	1086	708	332	1088	678	399	1112	324	726	1100
"VT"	2012	"Franklin"	"Fairfax"	"Fairfax (Franklin 2)"	1133	845	2084	904	1046	2009	1016	1048	2140	660	1363	2082	1695	1905	922	988	2054	1373	631	2111	1275	826	2145	614	1391	2133
"VT"	2012	"Franklin"	"Fairfield"	"Fairfield (Franklin 6)"	489	321	848	383	432	832	436	424	874	267	515	846	706	797	407	360	831	649	180	862	552	306	875	224	620	869
"VT"	2012	"Orange"	"Fairlee"	"Fairlee (Orange 2)"	293	176	499	264	200	477	332	168	522	233	259	505	412	464	277	187	502	382	118	521	361	153	533	117	384	518
"VT"	2012	"Washington"	"Fayston"	"Fayston (Washington 7)"	410	191	687	375	275	663	469	226	725	249	446	701	572	640	411	233	692	545	130	710	528	189	738	147	565	726
"VT"	2012	"Addison"	"Ferrisburgh"	"Ferrisburgh (Addison 3)"	822	543	1448	695	685	1404	815	632	1490	509	926	1453	1187	1315	698	646	1430	1038	379	1467	951	502	1494	431	1020	1484
"VT"	2012	"Franklin"	"Fletcher"	"Fletcher (Franklin 6)"	365	194	607	303	272	591	330	269	623	234	362	607	500	568	328	228	602	440	143	617	418	185	622	149	452	621
"VT"	2012	"Franklin"	"Franklin"	"Franklin (Franklin 5)"	265	258	549	204	323	534	208	342	562	140	373	548	432	503	229	290	537	373	157	546	294	261	566	179	361	555
